strategy,node,latency
Rule,Edge,390.959720673768
Rule,Cloud,133.28385316399135
Rule,Cloud,145.42738178833105
Rule,Edge,234.60091531673936
Rule,Edge,416.93827306982814
Rule,Edge,137.97266626483767
Rule,Edge,178.42933326745109
Rule,Edge,448.0376960129224
Rule,Cloud,147.49840823628728
Rule,Edge,481.37022175739605
Rule,Edge,407.8730666292694
Rule,Edge,258.1267418947968
Rule,Edge,117.6539563774252
Rule,Edge,389.4866793967064
Rule,Edge,252.84421065166964
Rule,Cloud,194.63871379769083
Rule,Cloud,162.2784512346302
Rule,Edge,193.4770668646411
Rule,Cloud,182.04646101612047
Rule,Edge,458.9893438188784
Rule,Edge,104.48902577844697
Rule,Edge,327.36949389337303
Rule,Edge,518.0360701898877
Rule,Edge,82.81931623711684
Rule,Edge,191.67530178054733
Rule,Edge,463.9164490928125
Rule,Edge,163.94812171242197
Rule,Edge,188.61590727809767
Rule,Edge,328.70237541692734
Rule,Edge,92.13175087673702
Rule,Edge,186.54186500751052
Rule,Cloud,182.94180554561112
Rule,Edge,490.2564916300773
Rule,Cloud,179.00282971814738
Rule,Edge,392.42869437922116
Rule,Cloud,178.95423458862948
RL,Edge,134.33754788705113
RL,Edge,159.12348099761564
RL,Edge,413.5851581748916
RL,Edge,324.9312266455135
RL,Edge,217.11872758374602
RL,Edge,234.5682630626391
RL,Edge,243.62673397588705
RL,Edge,240.80405305448073
RL,Edge,249.4740920772281
RL,Edge,443.8826234951733
RL,Edge,74.38542237588963
RL,Edge,467.8400764876511
RL,Edge,345.1026967852664
RL,Edge,243.46647846695194
RL,Edge,478.4084902247896
RL,Cloud,51.9838812795886
RL,Edge,219.95036372412628
RL,Cloud,105.56062787247667
RL,Edge,213.6379298822491
RL,Edge,114.57487766524481
RL,Edge,140.10309851451535
RL,Edge,491.7126949814218
RL,Edge,382.5145289880374
RL,Edge,481.9694386549465
RL,Edge,170.63041667808548
RL,Edge,75.32554685012425
RL,Edge,405.09057837134753
RL,Edge,97.89668131849214
RL,Edge,328.4045887686664
RL,Edge,284.9177143895944
RL,Edge,313.09533930704345
RL,Edge,59.44138509029141
RL,Edge,416.9902022925378
RL,Edge,305.63366319829765
RL,Edge,159.9705288311116
RL,Edge,290.33936225723886
RL,Edge,104.1816410814786
RL,Cloud,130.3441284199394
RL,Edge,88.87447282310961
RL,Edge,170.58016549218013
RL,Edge,73.89562367666915
RL,Edge,90.56876051374554
RL,Edge,223.9559921129281
RL,Edge,142.59583533555193
RL,Edge,107.92652326234084
RL,Cloud,88.56178058259289
RL,Edge,382.3909695239238
RL,Edge,358.2428054975141
RL,Edge,175.79995825291772
